                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0952,                 3.3662,                 1.2745,                0.00481,                0.85051,                0.39657,                0.32262,                0.63753,                 3.3234,                0.96243,             0.00021671,             0.00021671,             0.00021671
                      2,                0.92507,                 2.0962,                  1.103,                0.00507,                0.84141,                0.55687,                0.45148,                0.63003,                 3.1859,                0.96857,             0.00044563,             0.00044563,             0.00044563
                      3,                0.91236,                  2.025,                 1.1253,                      1,                 0.2395,                0.67413,                0.53471,                0.82702,                 2.9082,                 1.0909,             0.00066994,             0.00066994,             0.00066994
                      4,                0.95233,                 1.8066,                 1.1132,                 0.8077,                0.37273,                 0.5239,                0.36504,                0.96448,                 2.9308,                 1.2418,             0.00088962,             0.00088962,             0.00088962
                      5,                0.94948,                 1.6687,                 1.1245,                0.80888,                0.37964,                 0.5225,                0.33631,                   1.02,                 2.9901,                 1.3168,              0.0011047,              0.0011047,              0.0011047
                      6,                 1.0113,                 1.7773,                 1.1724,                0.58502,                0.49397,                 0.5144,                0.36559,                 1.1226,                 2.6822,                 1.3106,              0.0013151,              0.0013151,              0.0013151
                      7,                 1.0861,                 1.7266,                 1.1765,                0.47911,                0.54054,                0.45505,                0.33098,                 1.1339,                 2.6887,                 1.3408,              0.0015209,              0.0015209,              0.0015209
                      8,                  1.045,                 1.7491,                 1.1151,                0.59801,                    0.5,                0.49488,                0.36128,                 1.0704,                 2.4761,                 1.2414,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0529,                 1.6163,                 1.1741,                0.84649,                 0.5101,                0.60762,                0.47206,                0.95899,                 2.4103,                 1.2119,              0.0015515,              0.0015515,              0.0015515
                     10,                0.98478,                 1.4599,                 1.1061,                0.49453,                 0.5697,                0.52143,                0.39389,                0.99605,                 2.2605,                 1.2468,               0.001535,               0.001535,               0.001535
                     11,                0.99023,                 1.4901,                 1.1648,                0.65676,                0.50303,                 0.5793,                0.39728,                 1.1377,                 1.9734,                 1.2775,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.0075,                 1.4387,                 1.1569,                0.50197,                0.58384,                0.59415,                0.43426,                 1.1121,                 1.9106,                 1.3089,               0.001502,               0.001502,               0.001502
                     13,                 1.0843,                 1.3838,                 1.1888,                0.68601,                0.49796,                0.58376,                 0.4236,                 1.0681,                 1.9292,                 1.2344,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.0022,                 1.2539,                  1.126,                0.75549,                0.51034,                0.61477,                0.43416,                 1.0338,                 1.8265,                 1.2276,               0.001469,               0.001469,               0.001469
                     15,                0.96139,                 1.3108,                 1.1168,                 0.7797,                0.70314,                0.74502,                0.56408,                0.93198,                  1.655,                  1.158,              0.0014525,              0.0014525,              0.0014525
                     16,                0.95617,                  1.379,                 1.1949,                0.78818,                0.62769,                0.70814,                0.55453,                0.91897,                 1.8433,                  1.176,               0.001436,               0.001436,               0.001436
                     17,                 0.8948,                 1.1377,                 1.0815,                0.93897,                0.63939,                0.75561,                0.57492,                0.90421,                 1.4991,                 1.1531,              0.0014195,              0.0014195,              0.0014195
                     18,                0.95616,                   1.23,                  1.145,                0.89201,                0.64279,                0.76564,                 0.6039,                0.86726,                 1.4398,                  1.104,              0.0014029,              0.0014029,              0.0014029
                     19,                0.94859,                  1.211,                  1.126,                0.94173,                0.71616,                0.80013,                 0.6325,                0.83283,                 1.3421,                  1.103,              0.0013864,              0.0013864,              0.0013864
                     20,                0.91319,                  1.186,                 1.1141,                0.93148,                0.65594,                0.77847,                0.59292,                0.88829,                 1.3815,                 1.1502,              0.0013699,              0.0013699,              0.0013699
                     21,                0.84994,                 1.1292,                 1.0793,                0.79947,                0.68658,                0.77317,                 0.5698,                 0.9449,                 1.2668,                 1.1422,              0.0013534,              0.0013534,              0.0013534
                     22,                 0.8508,                 1.0516,                  1.086,                0.86366,                0.72929,                0.77901,                 0.6001,                0.89105,                 1.2307,                 1.1324,              0.0013369,              0.0013369,              0.0013369
                     23,                0.84641,                0.97082,                 1.0756,                0.76446,                0.70339,                0.77165,                0.57817,                0.93183,                 1.3269,                 1.1686,              0.0013204,              0.0013204,              0.0013204
                     24,                0.81973,                 1.0005,                 1.0599,                0.80137,                0.72402,                0.78808,                0.62468,                 0.8436,                 1.2129,                 1.0957,              0.0013039,              0.0013039,              0.0013039
                     25,                0.84923,                0.99631,                 1.0444,                 0.7479,                0.70015,                0.77128,                0.58779,                0.87307,                  1.263,                 1.1628,              0.0012874,              0.0012874,              0.0012874
                     26,                0.84146,                 1.0981,                 1.0815,                0.86912,                0.82051,                0.87519,                0.68217,                 0.8319,                 1.0663,                 1.1245,              0.0012709,              0.0012709,              0.0012709
                     27,                0.86318,                 1.0237,                 1.0837,                0.84185,                0.66818,                0.79367,                0.60344,                0.86186,                 1.3073,                 1.1332,              0.0012544,              0.0012544,              0.0012544
                     28,                0.80428,                0.99255,                   1.05,                0.80748,                0.75253,                0.83992,                0.66142,                0.78964,                 1.0961,                 1.0639,              0.0012379,              0.0012379,              0.0012379
                     29,                0.84153,                0.96419,                 1.0664,                0.81278,                0.75758,                0.83346,                0.63515,                0.84177,                 1.0804,                 1.1105,              0.0012214,              0.0012214,              0.0012214
                     30,                0.80857,                0.88559,                 1.0572,                    0.8,                0.81925,                0.85544,                0.66826,                 0.7995,                0.95443,                 1.0814,              0.0012049,              0.0012049,              0.0012049
                     31,                0.77572,                0.89269,                 1.0213,                0.73928,                0.76768,                0.80784,                0.63101,                0.82845,                 1.1019,                 1.0872,              0.0011884,              0.0011884,              0.0011884
                     32,                0.81721,                0.92955,                 1.0484,                0.82157,                0.79492,                0.84353,                0.64795,                0.81498,                 1.2439,                 1.0776,              0.0011719,              0.0011719,              0.0011719
                     33,                0.85677,                0.98228,                  1.122,                0.85306,                0.77374,                0.85575,                0.64876,                0.81344,                 1.0185,                 1.0692,              0.0011554,              0.0011554,              0.0011554
                     34,                0.78299,                0.87726,                 1.0334,                0.88243,                0.78283,                0.88245,                0.68413,                 0.7745,                0.92393,                  1.049,              0.0011389,              0.0011389,              0.0011389
                     35,                0.73024,                0.84891,                 1.0097,                 0.8734,                0.67778,                0.83182,                0.65493,                0.73706,                0.96077,                 1.0286,              0.0011224,              0.0011224,              0.0011224
                     36,                0.78343,                0.84842,                 1.0701,                0.96255,                0.69408,                0.84522,                0.66569,                  0.764,                0.92478,                 1.0653,              0.0011059,              0.0011059,              0.0011059
                     37,                0.71784,                0.78572,                0.97744,                 0.7943,                0.75471,                0.82654,                0.65747,                0.77744,                 1.0471,                 1.0663,              0.0010894,              0.0010894,              0.0010894
                     38,                0.70584,                0.77488,                   1.02,                0.82591,                0.74566,                0.82305,                 0.6508,                0.81205,                0.93907,                 1.0892,              0.0010729,              0.0010729,              0.0010729
                     39,                0.78211,                0.84037,                 1.0281,                0.85459,                0.75471,                0.85096,                0.64718,                0.79975,                0.92178,                 1.0877,              0.0010564,              0.0010564,              0.0010564
                     40,                0.77834,                0.78652,                  1.032,                0.87399,                0.80505,                0.89224,                0.69641,                0.75802,                 0.8146,                 1.0517,              0.0010399,              0.0010399,              0.0010399
                     41,                0.72484,                0.77943,                 1.0231,                0.86826,                0.80191,                0.86333,                0.69082,                0.74733,                0.86082,                 1.0375,              0.0010234,              0.0010234,              0.0010234
                     42,                0.75023,                0.76327,                  1.043,                0.95509,                 0.7202,                0.87668,                0.69427,                0.74984,                0.82186,                  1.034,              0.0010069,              0.0010069,              0.0010069
                     43,                0.73838,                0.78068,                 1.0152,                0.84401,                0.83406,                0.89735,                 0.7058,                0.74941,                0.77434,                 1.0459,             0.00099036,             0.00099036,             0.00099036
                     44,                0.72809,                0.74308,                 1.0164,                0.87981,                0.75706,                0.87636,                0.69863,                 0.7469,                 0.8066,                 1.0492,             0.00097386,             0.00097386,             0.00097386
                     45,                0.68803,                0.70892,                 1.0066,                0.90251,                0.75859,                0.85981,                0.71451,                0.70006,                0.77483,                  1.019,             0.00095736,             0.00095736,             0.00095736
                     46,                0.73518,                0.75997,                 1.0315,                0.79052,                0.80303,                0.84915,                0.68055,                0.71465,                0.82894,                 1.0364,             0.00094085,             0.00094085,             0.00094085
                     47,                0.76847,                0.72791,                 1.0327,                0.84887,                0.81552,                0.86293,                0.69095,                 0.7148,                0.84275,                 1.0324,             0.00092435,             0.00092435,             0.00092435
                     48,                0.66333,                0.67153,                0.97455,                 0.9164,                0.71364,                  0.837,                0.68232,                0.74382,                 0.9131,                 1.0811,             0.00090785,             0.00090785,             0.00090785
                     49,                0.61278,                 1.0596,                0.92335,                0.96408,                0.70909,                0.83709,                0.67923,                0.75921,                 0.8962,                 1.0603,             0.00089134,             0.00089134,             0.00089134
