                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7831,                 3.0173,                 1.0725,                0.71539,                0.14903,                0.14794,                0.08391,                 1.2672,                 2.2974,                0.65181,             0.00046575,             0.00046575,             0.00046575
                      2,                 1.3013,                 1.0629,                0.91817,                 0.5683,                0.10137,                0.14968,                0.09028,                 1.1915,                  1.581,                0.65299,             0.00093275,             0.00093275,             0.00093275
                      3,                 1.2283,                0.90852,                0.88312,                0.52906,                0.18533,                0.20394,                0.12027,                  1.163,                 1.7987,                0.64394,              0.0013903,              0.0013903,              0.0013903
                      4,                 1.1893,                0.84673,                0.88007,                0.46869,                0.12098,                0.12827,                0.07132,                  1.154,                 1.7119,                0.64679,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1115,                0.71846,                0.86856,                0.30472,                0.08335,                0.08955,                0.04483,                 1.2361,                 1.7862,                 0.6515,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.0878,                0.71266,                 0.8676,                 0.6975,                0.38585,                0.39335,                 0.2264,                 1.0831,                 1.3994,                0.64034,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.0974,                0.68239,                0.85861,                0.66889,                0.57515,                 0.5937,                 0.3561,                 1.2088,                 1.7113,                0.64733,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.0713,                0.66527,                 0.8656,                0.58948,                0.47165,                0.43622,                0.26886,                 1.1686,                 2.2155,                0.65384,                0.00133,                0.00133,                0.00133
                      9,                 1.0499,                0.64046,                0.85616,                  0.722,                0.56587,                0.59628,                0.35757,                 1.1071,                 1.4675,                0.63235,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0413,                0.63575,                0.85617,                0.71742,                0.61609,                0.61311,                0.35887,                 1.0861,                 1.4443,                0.63858,              0.0013017,              0.0013017,              0.0013017
                     11,                  1.003,                0.62117,                0.84752,                0.82889,                0.56356,                0.64705,                0.38264,                 1.1059,                 1.4504,                0.63636,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0196,                0.61001,                  0.857,                0.67457,                0.68291,                0.66169,                0.38707,                 1.1154,                 1.3719,                0.64098,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0189,                0.60118,                 0.8538,                0.71086,                 0.4748,                 0.5084,                0.29851,                 1.1457,                 1.3947,                0.65888,              0.0012592,              0.0012592,              0.0012592
                     14,                0.99182,                0.58027,                0.85114,                 0.7755,                0.65359,                0.68898,                0.40801,                 1.1026,                 1.2877,                0.63376,              0.0012451,              0.0012451,              0.0012451
